case ID,resource,activity name,start time,stop time,message count,query,Query.complexity,message,Notes
1,A_User,A:Initial information request,16/02/2018 00:00:02.700,16/02/2018 00:00:11.600,1,Where does cinnamon come from?,remember,In which countries... in which european countries... do they grow cinnamon,
1,B_Receiver,B:SERP without modification,16/02/2018 00:00:40.900,16/02/2018 00:00:51.900,2,Where does cinnamon come from?,remember,There is a bunch or results and the first one is Wikipedia uhm... which just talks about cinnamon but the next one talks about the top 5 uhm cinnamon producing countries,"Reads titles from first 2 search results, no modification"
2,A_User,A:Initial information request,16/02/2018 00:06:34.300,16/02/2018 00:06:47.600,1,Airport Security,analyze,Can you type in... uhm...effective effectiveness of new security measures at airports,
2,B_Receiver,B:Query refinement offer,16/02/2018 00:06:58.000,16/02/2018 00:07:02.800,2,Airport Security,analyze,Australia or at the airport,
2,A_User,A:Intent clarification,16/02/2018 00:07:02.900,16/02/2018 00:07:08.200,3,Airport Security,analyze,put uhm... put international airports,
3,A_User,A:Initial information request,16/02/2018 00:17:24.000,16/02/2018 00:17:36.100,1,Outsource job India,understand,What US jobs have been outsourced to India,
3,B_Receiver,B:Query refinement offer,16/02/2018 00:17:50.200,16/02/2018 00:17:52.700,2,Outsource job India,understand,Can I put in united states,
3,A_User,A:Confirms,16/02/2018 00:17:52.700,16/02/2018 00:17:53.200,3,Outsource job India,understand,yeah,
4,A_User,A:Initial information request,16/02/2018 00:00:14.600,16/02/2018 00:01:18.600,1,"recycle, automobile tires",understand,Uses for old car then the query or... passenger vehicle tyres... T Y R E S or... in caps tires... T I R E S... and I wanna uhm... do a date range so the data is from a recent 12 months... so uses for old car caps or passenger vehicle or tyres T Y R E S caps or tires T I R E S and data in the last 12 months that's the query,
4,B_Receiver,B:SERP without modification,16/02/2018 00:01:19.200,16/02/2018 00:02:27.400,2,"recycle, automobile tires",understand,So far from the last 12 months I... first results is second hand tyres in Sydney uhmäó_ from a wreckers the second result is compare tyres from drive.com.au uhm... the third result is uhm... an other wreckers in Brisbane used tyres in Frankston is the fourth result wheel and rim profiles of passenger cars tyre size calculator uhm... then there is the car bible uhm wheel and tyre bible which looks like it is everything you need to know about wheels and tyres from cars... the next one is beaurepaires... so an other tyres sales place... uhm one used car pick the tyres uhm... what damage does a car suffer if not refually used on a forum and then the last result is Bridgestone pricing,"Reads all search results, mainly titles"
5,A_User,A:Initial information request,16/02/2018 00:10:16.500,16/02/2018 00:11:02.500,1,per capita alcohol consumption,analyze,Please compare first word it might put compare average international uhm... and I like in inverted commas the words alcohol consumption... closing inverted commas and then in opening inverted commas per capita that is P E R capita C A P I T A closing inverted commas and that's... if you could return the searches for that please...,
5,B_Receiver,B:Asks to repeat,16/02/2018 00:11:07.400,16/02/2018 00:11:09.600,2,per capita alcohol consumption,analyze,sorry what... can you repeat that sentence,
5,A_User,A:Query repeat,16/02/2018 00:11:10.300,16/02/2018 00:11:29.900,3,per capita alcohol consumption,analyze,compare average open inverted commas oh sorry compare average international open inverted commas alcohol consumption close inverted commas open inverted commas per capita close inverted commas,
6,A_User,A:Initial information request,16/02/2018 00:21:14.000,16/02/2018 00:21:47.500,1,What language do they speak in New Caledonia?,remember,please search for the following phrase... what language language in inverted commas is spoken in open inverted commas new Caledonia close inverted commas... can you please check the caledonia CALEDONIA,
6,B_Receiver,B:SERP without modification,16/02/2018 00:21:59.700,16/02/2018 00:22:02.100,2,What language do they speak in New Caledonia?,remember,uhm... it has come up straight away with a result uhm... in google uhm... new caledonia official language French,Search stopped by user
7,A_User,A:Initial information request,16/02/2018 00:00:01.400,16/02/2018 00:00:10.800,1,Marine Vegetation,understand,maybe start of with type in marine vegetation and read up on what it kind of means,
7,B_Receiver,B:SERP with modification,16/02/2018 00:00:20.200,16/02/2018 00:00:35.200,2,Marine Vegetation,understand,ok I have an article about marine vegetation... plants that inhabit the seas and oceans... they include algae grasses mangrove trees and shrubs,
8,A_User,A:Initial information request,16/02/2018 00:10:16.700,16/02/2018 00:10:21.800,1,Where does cinnamon come from?,remember,maybe start of with uhm... type in... the origins of cinnamon,
8,B_Receiver,B:SERP without modification,16/02/2018 00:10:33.000,16/02/2018 00:10:41.700,2,Where does cinnamon come from?,remember,uhm I have around 1518 Portuguese traders discovered cinnamon at Ceylon present-day Sri Lanka,SERP card
9,A_User,A:Initial information request,16/02/2018 00:20:18.500,16/02/2018 00:21:00.700,1,per capita alcohol consumption,analyze,ok so... uhm... in general I sort of want to try to find out the average consumption of alcohol uhm by... by the country state... for local level... so maybe just start of with type in uhm alcohol consumption by country... tell me if anything related to statistics uhm... about alcohol consumption uhm... between countries,
9,B_Receiver,B:SERP without modification,16/02/2018 00:21:03.000,16/02/2018 00:21:08.800,2,per capita alcohol consumption,analyze,so I have a document about global consumption of alcohol by the world bank,
10,A_User,A:Initial information request,16/02/2018 00:00:22.600,16/02/2018 00:00:24.600,1,Turkey Iraq Water,analyze,turkish river control,
10,B_Receiver,B:Confirms,16/02/2018 00:00:30.700,16/02/2018 00:00:31.700,2,Turkey Iraq Water,analyze,yeah,
10,A_User,A:SERP information request,16/02/2018 00:00:33.500,16/02/2018 00:00:34.600,3,Turkey Iraq Water,analyze,What results came up?,
11,A_User,A:Initial information request,16/02/2018 00:01:51.900,16/02/2018 00:01:54.000,1,"What river runs through Rome, Italy?",remember,Rome water supply,
11,B_Receiver,B:SERP with modification,16/02/2018 00:02:05.000,16/02/2018 00:02:16.000,2,"What river runs through Rome, Italy?",remember,uhm... yeah uhm... it pops up... it talks about the aqueduct and stuff and... yeah... pretty much more based on it's history,
